query_id,group,row_count,hit_count,selectivity
1,x6x8,500000,5002,0.010004
2,x6x8,500000,2382,0.004764
3,x6x8,500000,12259,0.024518
4,x6x8,500000,3851,0.007702
5,x6x8,500000,3685,0.00737
6,x6x8,500000,2358,0.004716
7,x6x8,500000,5835,0.01167
8,x6x8,500000,284,0.000568
9,x6x8,500000,1939,0.003878
10,x6x8,500000,11631,0.023262
11,x6x8,500000,6418,0.012836
12,x6x8,500000,3325,0.00665
13,x6x8,500000,441,0.000882
14,x6x8,500000,484,0.000968
15,x6x8,500000,7112,0.014224
16,x6x8,500000,3411,0.006822
17,x6x8,500000,6457,0.012914
18,x6x8,500000,1360,0.00272
19,x6x8,500000,7608,0.015216
20,x6x8,500000,253,0.000506
21,x6x8,500000,9849,0.019698
22,x6x8,500000,1233,0.002466
23,x6x8,500000,3529,0.007058
24,x6x8,500000,46,9.2e-05
25,x6x8,500000,9820,0.01964
26,x6x8,500000,9,1.8e-05
27,x6x8,500000,8472,0.016944
28,x6x8,500000,5085,0.01017
29,x6x8,500000,124,0.000248
30,x6x8,500000,3263,0.006526
31,x6x8,500000,13,2.6e-05
32,x6x8,500000,40,8e-05
33,x6x8,500000,1,2e-06
34,x6x8,500000,2290,0.00458
35,x6x8,500000,259,0.000518
36,x6x8,500000,1985,0.00397
37,x6x8,500000,11454,0.022908
38,x6x8,500000,3181,0.006362
39,x6x8,500000,77,0.000154
40,x6x8,500000,1636,0.003272
41,x6x8,500000,5545,0.01109
42,x6x8,500000,2369,0.004738
43,x6x8,500000,2560,0.00512
44,x6x8,500000,2185,0.00437
45,x6x8,500000,5615,0.01123
46,x6x8,500000,237,0.000474
47,x6x8,500000,7086,0.014172
48,x6x8,500000,4836,0.009672
49,x6x8,500000,4349,0.008698
50,x6x8,500000,5291,0.010582
51,x6x8,500000,3105,0.00621
52,x6x8,500000,5128,0.010256
53,x6x8,500000,12233,0.024466
54,x6x8,500000,7926,0.015852
55,x6x8,500000,6283,0.012566
56,x6x8,500000,719,0.001438
57,x6x8,500000,384,0.000768
58,x6x8,500000,18852,0.037704
59,x6x8,500000,2297,0.004594
60,x6x8,500000,2045,0.00409
61,x6x8,500000,806,0.001612
62,x6x8,500000,263,0.000526
63,x6x8,500000,875,0.00175
64,x6x8,500000,4804,0.009608
65,x6x8,500000,14596,0.029192
66,x6x8,500000,37,7.4e-05
67,x6x8,500000,1250,0.0025
68,x6x8,500000,824,0.001648
69,x6x8,500000,61,0.000122
70,x6x8,500000,4694,0.009388
71,x6x8,500000,11325,0.02265
72,x6x8,500000,4899,0.009798
73,x6x8,500000,4402,0.008804
74,x6x8,500000,4118,0.008236
75,x6x8,500000,1952,0.003904
76,x6x8,500000,4969,0.009938
77,x6x8,500000,22342,0.044684
78,x6x8,500000,7184,0.014368
79,x6x8,500000,5992,0.011984
80,x6x8,500000,4573,0.009146
81,x6x8,500000,719,0.001438
82,x6x8,500000,2319,0.004638
83,x6x8,500000,129,0.000258
84,x6x8,500000,3080,0.00616
85,x6x8,500000,755,0.00151
86,x6x8,500000,17761,0.035522
87,x6x8,500000,5120,0.01024
88,x6x8,500000,3921,0.007842
89,x6x8,500000,417,0.000834
90,x6x8,500000,1078,0.002156
91,x6x8,500000,74,0.000148
92,x6x8,500000,6,1.2e-05
93,x6x8,500000,3839,0.007678
94,x6x8,500000,7950,0.0159
95,x6x8,500000,5626,0.011252
96,x6x8,500000,5296,0.010592
97,x6x8,500000,6227,0.012454
98,x6x8,500000,1692,0.003384
99,x6x8,500000,2684,0.005368
100,x6x8,500000,1778,0.003556
101,x6x8,500000,4581,0.009162
102,x6x8,500000,426,0.000852
103,x6x8,500000,23850,0.0477
104,x6x8,500000,7332,0.014664
105,x6x8,500000,3383,0.006766
106,x6x8,500000,1091,0.002182
107,x6x8,500000,2626,0.005252
108,x6x8,500000,4165,0.00833
109,x6x8,500000,5464,0.010928
110,x6x8,500000,10161,0.020322
111,x6x8,500000,6823,0.013646
112,x6x8,500000,10842,0.021684
113,x6x8,500000,836,0.001672
114,x6x8,500000,257,0.000514
115,x6x8,500000,2830,0.00566
