query_id,group,row_count,hit_count,selectivity
1,x1x4,500000,505,0.00101
2,x1x4,500000,161,0.000322
3,x1x4,500000,17,3.4e-05
4,x1x4,500000,0,0.0
5,x1x4,500000,8772,0.017544
6,x1x4,500000,470,0.00094
7,x1x4,500000,13277,0.026554
8,x1x4,500000,12,2.4e-05
9,x1x4,500000,5481,0.010962
10,x1x4,500000,147,0.000294
11,x1x4,500000,457,0.000914
12,x1x4,500000,1,2e-06
13,x1x4,500000,25,5e-05
14,x1x4,500000,62,0.000124
15,x1x4,500000,1186,0.002372
16,x1x4,500000,40,8e-05
17,x1x4,500000,1,2e-06
18,x1x4,500000,3,6e-06
19,x1x4,500000,2035,0.00407
20,x1x4,500000,23,4.6e-05
21,x1x4,500000,146,0.000292
22,x1x4,500000,1,2e-06
23,x1x4,500000,3343,0.006686
24,x1x4,500000,4861,0.009722
25,x1x4,500000,460,0.00092
26,x1x4,500000,74,0.000148
27,x1x4,500000,0,0.0
28,x1x4,500000,722,0.001444
29,x1x4,500000,1446,0.002892
30,x1x4,500000,675,0.00135
31,x1x4,500000,14,2.8e-05
32,x1x4,500000,66,0.000132
33,x1x4,500000,81,0.000162
34,x1x4,500000,9,1.8e-05
35,x1x4,500000,16,3.2e-05
36,x1x4,500000,105,0.00021
37,x1x4,500000,1327,0.002654
38,x1x4,500000,6894,0.013788
39,x1x4,500000,5,1e-05
40,x1x4,500000,1198,0.002396
41,x1x4,500000,48,9.6e-05
42,x1x4,500000,0,0.0
43,x1x4,500000,382,0.000764
44,x1x4,500000,0,0.0
45,x1x4,500000,3,6e-06
46,x1x4,500000,0,0.0
47,x1x4,500000,1322,0.002644
48,x1x4,500000,2591,0.005182
49,x1x4,500000,497,0.000994
50,x1x4,500000,101,0.000202
51,x1x4,500000,0,0.0
52,x1x4,500000,6,1.2e-05
53,x1x4,500000,3622,0.007244
54,x1x4,500000,1,2e-06
55,x1x4,500000,251,0.000502
56,x1x4,500000,472,0.000944
57,x1x4,500000,0,0.0
58,x1x4,500000,89,0.000178
59,x1x4,500000,5929,0.011858
60,x1x4,500000,0,0.0
61,x1x4,500000,54,0.000108
62,x1x4,500000,205,0.00041
63,x1x4,500000,13791,0.027582
64,x1x4,500000,327,0.000654
65,x1x4,500000,80,0.00016
66,x1x4,500000,11,2.2e-05
67,x1x4,500000,4,8e-06
68,x1x4,500000,680,0.00136
69,x1x4,500000,437,0.000874
70,x1x4,500000,134,0.000268
71,x1x4,500000,1594,0.003188
72,x1x4,500000,2784,0.005568
73,x1x4,500000,21,4.2e-05
74,x1x4,500000,60,0.00012
75,x1x4,500000,1441,0.002882
